Program Version:,EnergyPlus, Version 9.0.1-bb7ca4f0da, YMD=2022.07.26 12:19


On-Site Thermal Sources

,,Heat [kWh],Percent Heat [%]
,Water-Side Heat Recovery,0.00,0.00
,Air to Air Heat Recovery for Cooling,7.23,8.53
,Air to Air Heat Recovery for Heating,77.59,91.47
,High-Temperature Geothermal*,0.00,0.00
,Solar Water Thermal,0.00,0.00
,Solar Air Thermal,0.00,0.00
,Total On-Site Thermal Sources,84.82,100.00


Water Source Summary

,,Water [m3],Percent Water [%]
,Rainwater Collection,0.00,-
,Condensate Collection,0.00,-
,Groundwater Well,0.00,-
,Total On Site Water Sources,0.00,-
,-,-,-
,Initial Storage,0.00,-
,Final Storage,0.00,-
,Change in Storage,0.00,-
,-,-,-
,Water Supplied by Utility,0.00,-
,-,-,-
,Total On Site, Change in Storage, and Utility Water Sources,0.00,-
,Total Water End Uses,0.00,-


Setpoint Not Met Criteria

,,Degrees [deltaC]
,Tolerance for Zone Heating Setpoint Not Met Time,1.00
,Tolerance for Zone Cooling Setpoint Not Met Time,1.00


Comfort and Setpoint Not Met Summary

,,Facility [Hours]
,Time Setpoint Not Met During Occupied Heating,0.00
,Time Setpoint Not Met During Occupied Cooling,90.00
,Time Not Comfortable Based on Simple ASHRAE 55-2004,90.00


Note 1: An asterisk (*) indicates that the feature is not yet implemented.
----------------------------------------------------------------------------------------------------
REPORT:,Input Verification and Results Summary
FOR:,Entire Facility
General

,,Value
,Program Version and Build,EnergyPlus, Version 9.0.1-bb7ca4f0da, YMD=2022.07.26 12:19
,RunPeriod,TYPICAL SUMMER WEEK
,Weather File,Pasco WA USA TMY3 WMO#=727845
,Latitude [deg],46.27
,Longitude [deg],-119.1
,Elevation [m],136.00
,Time Zone,-8.0
,North Axis Angle [deg],0.00
,Rotation for Appendix G [deg],0.00
,Hours Simulated [hrs],120.00


ENVELOPE
Window-Wall Ratio

,,Total,North (315 to 45 deg),East (45 to 135 deg),South (135 to 225 deg),West (225 to 315 deg)
,Gross Wall Area [m2],1207.00,364.74,218.14,405.99,218.14
,Above Ground Wall Area [m2],1207.00,364.74,218.14,405.99,218.14
,Window Opening Area [m2],136.99,32.70,2.97,67.70,33.62
,Gross Window-Wall Ratio [%],11.35,8.97,1.36,16.67,15.41
,Above Ground Window-Wall Ratio [%],11.35,8.97,1.36,16.67,15.41


Conditioned Window-Wall Ratio

,,Total,North (315 to 45 deg),East (45 to 135 deg),South (135 to 225 deg),West (225 to 315 deg)
,Gross Wall Area [m2],1207.00,364.74,218.14,405.99,218.14
,Above Ground Wall Area [m2],1207.00,364.74,218.14,405.99,218.14
,Window Opening Area [m2],136.99,32.70,2.97,67.70,33.62
,Gross Window-Wall Ratio [%],11.35,8.97,1.36,16.67,15.41
,Above Ground Window-Wall Ratio [%],11.35,8.97,1.36,16.67,15.41


Skylight-Roof Ratio

,,Total
,Gross Roof Area [m2],2120.79
,Skylight Area [m2],0.00
,Skylight-Roof Ratio [%],0.00


PERFORMANCE
Zone Summary

,,Area [m2],Conditioned (Y/N),Part of Total Floor Area (Y/N),Volume [m3],Multipliers,Above Ground Gross Wall Area [m2],Underground Gross Wall Area [m2],Window Glass Area [m2],Opening Area [m2],Lighting [W/m2],People [m2 per person],Plug and Process [W/m2]
,ZONE-VAV-143,10.40,Yes,Yes,38.04,1.00,23.60,0.00,5.95,5.95,3.2800,10.00,16.0000
,ZONE-VAV-142,53.93,Yes,Yes,197.25,1.00,59.74,0.00,23.03,23.03,3.2800,10.00,16.0000
,ZONE-HTR-001,12.08,Yes,Yes,44.17,1.00,13.38,0.00,4.65,4.65,3.2800,18.58,1.0000
,ZONE-VAV-136,11.07,Yes,Yes,40.49,1.00,24.34,0.00,5.95,5.95,3.2800,10.00,16.0000
,ZONE-VAV-127B,276.44,Yes,Yes,1011.10,1.00,76.55,0.00,29.73,29.73,3.2800,14.00,12.0000
,ZONE-VAV-127A,226.60,Yes,Yes,828.81,1.00,76.55,0.00,29.73,29.73,3.2800,14.00,12.0000
,ZONE-VAV-131,12.94,Yes,Yes,47.35,1.00,14.12,0.00,0.00,0.00,3.2800,12.00,16.0000
,ZONE-VAV-129,38.34,Yes,Yes,140.24,1.00,0.00,0.00,0.00,0.00,3.2800,12.00,16.0000
,ZONE-VAV-150,24.52,Yes,Yes,89.67,1.00,25.64,0.00,5.95,5.95,3.2800,18.58,16.0000
,ZONE-VAV-123A,65.16,Yes,Yes,238.31,1.00,30.10,0.00,0.00,0.00,3.2800,9.29,16.0000
,ZONE-VAV-123B,68.55,Yes,Yes,250.73,1.00,18.77,0.00,0.00,0.00,3.2800,9.29,16.0000
,ZONE-SERVER,101.49,Yes,Yes,371.22,1.00,105.07,0.00,0.00,0.00,3.2800,18.58,339.4113
,ZONE-VAV-118,62.53,Yes,Yes,228.72,1.00,0.00,0.00,0.00,0.00,3.2800,4.64,4.0000
,ZONE-VAV-120,10.47,Yes,Yes,38.31,1.00,0.00,0.00,0.00,0.00,3.2800,10.00,16.0000
,ZONE-VAV-119,10.47,Yes,Yes,38.31,1.00,0.00,0.00,0.00,0.00,3.2800,10.00,16.0000
,ZONE-VAV-RESTROOM,10.47,Yes,Yes,38.31,1.00,23.69,0.00,0.00,0.00,0.0033,1800.58,0.0040
,ZONE-AHU-004,153.37,Yes,Yes,561.44,1.00,114.18,0.00,0.00,0.00,3.2800,18.58,16.0000
,ZONE-VAV-102,96.74,Yes,Yes,353.82,1.00,48.22,0.00,13.75,13.75,3.2800,4.64,4.0000
,ZONE-FCU-001,22.72,Yes,Yes,83.10,1.00,0.00,0.00,0.00,0.00,3.2800,18.58,8.0000
,ZONE-AHU-002,178.50,Yes,Yes,652.88,1.00,146.60,0.00,0.00,0.00,3.2800,9.29,16.0000
,ZONE-VAV-105,90.82,Yes,Yes,332.19,1.00,80.45,0.00,18.27,18.27,3.2800,18.58,4.0000
,ZONE-FCU-003,40.11,Yes,Yes,146.70,1.00,47.71,0.00,0.00,0.00,3.2800,18.58,53.7500
,ZONE-VAV-112,40.11,Yes,Yes,146.70,1.00,6.18,0.00,0.00,0.00,3.2800,18.58,26.8750
,ZONE-HTR-002,14.75,Yes,Yes,53.96,1.00,11.24,0.00,0.00,0.00,3.2800,18.58,1.0000
,ZONE-HTR-003,14.75,Yes,Yes,53.96,1.00,11.24,0.00,0.00,0.00,3.2800,18.58,1.0000
,ZONE-VAV-104,20.43,Yes,Yes,74.73,1.00,22.81,0.00,0.00,0.00,3.2800,18.58,2.0000
,ZONE-VAV-116,13.27,Yes,Yes,48.55,1.00,14.82,0.00,0.00,0.00,3.2800,18.58,4.0000
,ZONE-VAV-108,66.22,Yes,Yes,242.22,1.00,60.29,0.00,0.00,0.00,3.2800,18.58,16.0000
,ZONE-FCU-002,66.22,Yes,Yes,242.22,1.00,60.29,0.00,0.00,0.00,3.2800,18.58,53.7500
,ZONE-HTR-004,12.68,Yes,Yes,46.38,1.00,13.38,0.00,0.00,0.00,3.2800,18.58,1.0000
,ZONE-VAV-CORRIDOR,224.88,Yes,Yes,822.51,1.00,60.48,0.00,0.00,0.00,3.2800,18.58,4.0000
,ZONE-VAV-133,51.43,Yes,Yes,188.12,1.00,0.00,0.00,0.00,0.00,3.2800,18.58,4.0000
,ZONE-VAV-107,18.29,Yes,Yes,66.90,1.00,17.56,0.00,0.00,0.00,3.2800,18.58,8.0000
,Total,2120.79,,,7757.45,,1207.00,0.00,136.99,136.99,3.2638,12.40,28.8208
,Conditioned Total,2120.79,,,7757.45,,1207.00,0.00,136.99,136.99,3.2638,12.40,28.8208
,Unconditioned Total,0.00,,,0.00,,0.00,0.00,0.00,0.00,,,
,Not Part of Total,0.00,,,0.00,,0.00,0.00,0.00,0.00,,,


----------------------------------------------------------------------------------------------------
REPORT:,Demand End Use Components Summary
FOR:,Entire Facility
End Uses

,,Electricity [W],Natural Gas [W],Propane [W],District Cooling [W],Steam [W],Water [m3/s]
,Time of Peak,01-AUG-16:04,-,-,-,-,-
,Heating,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,22046.05,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,4161.49,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,49884.47,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,6108.18,0.00,0.00,0.00,0.00,0.00
,Pumps,2085.69,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,5613.13,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,
,Total End Uses,89899.02,0.00,0.00,0.00,0.00,0.00


End Uses By Subcategory

,,Subcategory,Electricity [W],Natural Gas [W],Propane [W],District Cooling [W],Steam [W],Water [m3/s]
,Heating,Boiler,0.00,0.00,0.00,0.00,0.00,0.00
,,Boiler Parasitic,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,General,22046.05,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,General Lights,4161.49,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,General,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,MiscPlug,49884.47,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,General,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,Unit Heater Fans,0.00,0.00,0.00,0.00,0.00,0.00
,,General,6108.18,0.00,0.00,0.00,0.00,0.00
,Pumps,General,2085.69,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,General,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,General,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,General,5613.13,0.00,0.00,0.00,0.00,0.00
,Water Systems,General,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,General,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,DCtoACInverter Ancillary,0.00,0.00,0.00,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,Source Energy End Use Components Summary
FOR:,Entire Facility
Values gathered over       120.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Source Energy End Use Components Summary

,,Source Electricity [kWh],Source Natural Gas [kWh],Source Additional Fuel [kWh],Source District Cooling [kWh],Source District Heating [kWh]
,Heating,0.00,0.00,0.00,0.00,0.00
,Cooling,2852.60,0.00,0.00,0.00,0.00
,Interior Lighting,1581.53,0.00,0.00,0.00,0.00
,Exterior Lighting,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,18806.82,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00
,Fans,1049.85,0.00,0.00,0.00,0.00
,Pumps,561.19,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,673.05,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00
,,,,,,
,Total Source Energy End Use Components,25525.05,0.00,0.00,0.00,0.00


Normalized Metrics
Source Energy End Use Components Per Conditioned Floor Area

,,Source Electricity [kWh/m2],Source Natural Gas [kWh/m2],Source Additional Fuel [kWh/m2],Source District Cooling [kWh/m2],Source District Heating [kWh/m2]
,Heating,0.00,0.00,0.00,0.00,0.00
,Cooling,1.35,0.00,0.00,0.00,0.00
,Interior Lighting,0.75,0.00,0.00,0.00,0.00
,Exterior Lighting,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,8.87,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00
,Fans,0.50,0.00,0.00,0.00,0.00
,Pumps,0.26,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.32,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00
,,,,,,
,Total Source Energy End Use Components,12.04,0.00,0.00,0.00,0.00


Source Energy End Use Components Per Total Floor Area

,,Source Electricity [kWh/m2],Source Natural Gas [kWh/m2],Source Additional Fuel [kWh/m2],Source District Cooling [kWh/m2],Source District Heating [kWh/m2]
,Heating,0.00,0.00,0.00,0.00,0.00
,Cooling,1.35,0.00,0.00,0.00,0.00
,Interior Lighting,0.75,0.00,0.00,0.00,0.00
,Exterior Lighting,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,8.87,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00
,Fans,0.50,0.00,0.00,0.00,0.00
,Pumps,0.26,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.32,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00
,,,,,,
,Total Source Energy End Use Components,12.04,0.00,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,Component Sizing Summary
FOR:,Entire Facility
AirTerminal:SingleDuct:VAV:Reheat

,,Design Size Maximum Air Flow Rate [m3/s],Design Size Constant Minimum Air Flow Fraction,User-Specified Constant Minimum Air Flow Fraction,Design Size Minimum Air Flow Rate [m3/s],Design Size Maximum Flow per Zone Floor Area during Reheat [m3/s-m2],Design Size Maximum Flow Fraction during Reheat [],Design Size Maximum Reheat Water Flow Rate [m3/s],Design Size Reheat Coil Sizing Air Volume Flow Rate [m3/s],Design Size Reheat Coil Sizing Inlet Air Temperature [C],Design Size Reheat Coil Sizing Inlet Air Humidity Ratio [kgWater/kgDryAir]
,ZONE-VAV-143 VAV BOX COMPONENT,0.138536,0.057204,0.300000,0.041561,0.003996,0.300000,0.000010,0.041561,16.70,0.008000
,ZONE-VAV-142 VAV BOX COMPONENT,0.733569,0.056019,0.100000,0.073357,0.001360,0.100000,0.000035,0.073357,16.70,0.008000
,ZONE-VAV-136 VAV BOX COMPONENT,0.132084,0.063869,0.300000,0.039625,0.003579,0.300000,0.000010,0.039625,16.70,0.008000
,ZONE-VAV-127B VAV BOX COMPONENT,1.10,0.191376,0.300000,0.330208,0.001195,0.300000,0.000027,0.330208,16.70,0.008000
,ZONE-VAV-127A VAV BOX COMPONENT,0.639334,0.270076,0.300000,0.191800,0.000846,0.300000,0.000031,0.191800,16.70,0.008000
,ZONE-VAV-131 VAV BOX COMPONENT,0.048257,0.204401,0.300000,0.014477,0.001118,0.300000,0.000002,0.014477,16.70,0.008000
,ZONE-VAV-129 VAV BOX COMPONENT,0.118335,0.246904,0.300000,0.035501,0.000926,0.300000,0.000000,0.035501,16.70,0.008000
,ZONE-VAV-150 VAV BOX COMPONENT,0.149688,0.124801,0.300000,0.044906,0.001832,0.300000,0.000009,0.044906,16.70,0.008000
,ZONE-VAV-123A VAV BOX COMPONENT,0.224804,0.220854,0.300000,0.067441,0.001035,0.300000,0.000000,0.067441,16.70,0.008000
,ZONE-VAV-123B VAV BOX COMPONENT,0.231088,0.226038,0.300000,0.069326,0.001011,0.300000,0.000000,0.069326,16.70,0.008000
,ZONE-VAV-118 VAV BOX COMPONENT,0.184041,0.258904,0.300000,0.055212,0.000883,0.300000,0.000000,0.055212,16.70,0.008000
,ZONE-VAV-120 VAV BOX COMPONENT,0.034883,0.228816,0.300000,0.010465,0.000999,0.300000,0.000000,0.010465,16.70,0.008000
,ZONE-VAV-119 VAV BOX COMPONENT,0.034069,0.234283,0.300000,0.010221,0.000976,0.300000,0.000000,0.010221,16.70,0.008000
,ZONE-VAV-RESTROOM VAV BOX COMPONENT,0.031030,0.257230,0.300000,0.009309,0.000889,0.300000,0.000000,0.009309,16.70,0.008000
,ZONE-VAV-102 VAV BOX COMPONENT,0.483751,0.152377,0.300000,0.145125,0.001500,0.300000,0.000017,0.145125,16.70,0.008000
,ZONE-VAV-105 VAV BOX COMPONENT,0.442141,0.156525,0.300000,0.132642,0.001460,0.300000,0.000030,0.132642,16.70,0.008000
,ZONE-VAV-112 VAV BOX COMPONENT,0.159795,0.191264,0.300000,0.047938,0.001195,0.300000,0.000000,0.047938,16.70,0.008000
,ZONE-VAV-104 VAV BOX COMPONENT,0.044733,0.348044,0.300000,0.013420,0.000657,0.300000,0.000001,0.013420,16.70,0.008000
,ZONE-VAV-116 VAV BOX COMPONENT,0.030691,0.329584,0.300000,0.009207,0.000694,0.300000,0.000002,0.009207,16.70,0.008000
,ZONE-VAV-108 VAV BOX COMPONENT,0.243789,0.206995,0.300000,0.073137,0.001104,0.300000,0.000009,0.073137,16.70,0.008000
,ZONE-VAV-CORRIDOR VAV BOX COMPONENT,0.450362,0.380483,0.300000,0.135109,0.000601,0.300000,0.000010,0.135109,16.70,0.008000
,ZONE-VAV-133 VAV BOX COMPONENT,0.105911,0.370049,0.300000,0.031773,0.000618,0.300000,0.000000,0.031773,16.70,0.008000
,ZONE-VAV-107 VAV BOX COMPONENT,0.059764,0.233204,0.300000,0.017929,0.000980,0.300000,0.000003,0.017929,16.70,0.008000
User-Specified values were used. Design Size values were used if no User-Specified values were provided. Design Size values may be derived from alternate User-Specified values.


Coil:Heating:Water

,,Design Size Rated Capacity [W],Design Size Maximum Water Flow Rate [m3/s],Design Size U-Factor Times Area Value [W/K]
,ZONE-VAV-143 VAV BOX REHEAT COIL,454.99,0.000010,8.59
,ZONE-VAV-142 VAV BOX REHEAT COIL,1595.50,0.000035,32.78
,ZONE-VAV-136 VAV BOX REHEAT COIL,469.40,0.000010,8.95
,ZONE-VAV-127B VAV BOX REHEAT COIL,1221.13,0.000027,21.27
,ZONE-VAV-127A VAV BOX REHEAT COIL,1396.66,0.000031,25.28
,ZONE-VAV-131 VAV BOX REHEAT COIL,72.14,0.000002,1.27
,ZONE-VAV-129 VAV BOX REHEAT COIL,0.000000,0.000000,1.00
,ZONE-VAV-150 VAV BOX REHEAT COIL,403.08,0.000009,7.44
,ZONE-VAV-123A VAV BOX REHEAT COIL,0.000000,0.000000,1.00
,ZONE-VAV-123B VAV BOX REHEAT COIL,0.000000,0.000000,1.00
,ZONE-VAV-118 VAV BOX REHEAT COIL,0.000000,0.000000,1.00
,ZONE-VAV-120 VAV BOX REHEAT COIL,0.000000,0.000000,1.00
,ZONE-VAV-119 VAV BOX REHEAT COIL,0.000000,0.000000,1.00
,ZONE-VAV-RESTROOM VAV BOX REHEAT COIL,0.000000,0.000000,1.00
,ZONE-VAV-102 VAV BOX REHEAT COIL,749.74,0.000017,13.26
,ZONE-VAV-105 VAV BOX REHEAT COIL,1372.30,0.000030,25.72
,ZONE-VAV-112 VAV BOX REHEAT COIL,0.000000,0.000000,1.00
,ZONE-VAV-104 VAV BOX REHEAT COIL,62.92,0.000001,1.11
,ZONE-VAV-116 VAV BOX REHEAT COIL,103.87,0.000002,1.97
,ZONE-VAV-108 VAV BOX REHEAT COIL,394.85,0.000009,7.00
,ZONE-VAV-CORRIDOR VAV BOX REHEAT COIL,446.93,0.000010,7.75
,ZONE-VAV-133 VAV BOX REHEAT COIL,0.000000,0.000000,1.00
,ZONE-VAV-107 VAV BOX REHEAT COIL,147.37,0.000003,2.70
,AHU-001 HEATC,40119.78,0.000886,580.13
,AHU-002 HEATC,5696.87,0.000126,81.88
,AHU-003 HEATC,7973.07,0.000176,115.67
,AHU-004 HEATC,4866.47,0.000108,68.31
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


ZoneHVAC:UnitHeater

,,Design Size Maximum Supply Air Flow Rate [m3/s]
,ZONE-HTR-001 UNIT HEATER,0.010435
,ZONE-HTR-002 UNIT HEATER,0.012748
,ZONE-HTR-003 UNIT HEATER,0.012748
,ZONE-HTR-004 UNIT HEATER,0.010957
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Fan:ConstantVolume

,,Design Size Maximum Flow Rate [m3/s]
,ZONE-HTR-001 UNIT HEATERFAN,0.010435
,ZONE-HTR-002 UNIT HEATERFAN,0.012748
,ZONE-HTR-003 UNIT HEATERFAN,0.012748
,ZONE-HTR-004 UNIT HEATERFAN,0.010957
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Coil:Heating:Electric

,,Design Size Nominal Capacity [W]
,ZONE-HTR-001 UNIT HEATER COIL,433.78
,ZONE-HTR-002 UNIT HEATER COIL,529.91
,ZONE-HTR-003 UNIT HEATER COIL,529.91
,ZONE-HTR-004 UNIT HEATER COIL,455.46
,FCU-001 HEAT PUMP DX SUPP HEATING COIL,1262.28
,FCU-002 HEAT PUMP DX SUPP HEATING COIL,3679.21
,FCU-003 HEAT PUMP DX SUPP HEATING COIL,2228.32
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


AirTerminal:SingleDuct:Uncontrolled

,,Design Size Maximum Air Flow Rate [m3/s]
,ZONE-SERVER DIRECT AIR,3.56
,ZONE-AHU-004 DIRECT AIR,0.498192
,ZONE-FCU-001 DIRECT AIR,0.047673
,ZONE-AHU-002 DIRECT AIR,0.663858
,ZONE-FCU-003 DIRECT AIR,0.270444
,ZONE-FCU-002 DIRECT AIR,0.446047
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


AirLoopHVAC

,,Sum of Air Terminal Maximum Heating Flow Rates [m3/s],Sum of Air Terminal Minimum Heating Flow Rates [m3/s],Sum of Air Terminal Maximum Flow Rates [m3/s],Adjusted Heating Design Air Flow Rate [m3/s],Adjusted Cooling Design Air Flow Rate [m3/s],Adjusted Main Design Air Flow Rate [m3/s],User Heating Air Flow Ratio [],Calculated Heating Air Flow Ratio [],Design Supply Air Flow Rate [m3/s]
,AHU-001,1.31,1.31,4.84,1.31,4.84,4.84,0.300000,0.269690,4.84
,AHU-002,0.663858,0.663858,0.663858,0.663858,0.663858,0.663858,0.300000,1.00,0.663858
,AHU-003,0.294274,0.294274,0.980912,0.294274,0.980912,0.980912,0.300000,0.300000,0.980912
